小区名称,户型,面积,区域,楼层,朝向,单价（平方米）Y,建筑时间
上大阳光乾静园,3室2厅,130.01,宝山,高区/6层,朝南北,47534,2005年建
祁连二村,3室1厅,78.17,宝山,高区/6层,朝南北,46053,1994年建
菊泉新城（陆翔路698弄）,2室1厅,77.81,宝山,中区/5层,朝南北,44981,2005年建
新梅绿岛苑,2室2厅,84.89,宝山,高区/14层,朝南北,58899,2007年建
天馨花园（公寓）,2室1厅,71.27,宝山,中区/6层,朝南北,46302,1998年建
康泰东苑,4室2厅,152.03,宝山,高区/5层,朝南北,44728,2002年建
民主敦发小区,1室1厅,61.58,宝山,高区/6层,朝南,47905,1997年建
文华苑（宝山）,3室2厅,109.94,宝山,高区/6层,朝南,52483,1997年建
大唐花园,1室1厅,54.37,宝山,高区/6层,朝南,34945,1995年建
大华公园世家康华苑,4室3厅,254.97,宝山,高区/3层,朝南北,50201,
滨江雅苑,2室2厅,85.52,宝山,低区/6层,朝南北,65481,
富锦苑,4室2厅,182.5,宝山,高区/6层,朝南北,25753,2001年建
水岸蓝桥（公寓）,3室2厅,139.16,宝山,中区/17层,朝南北,61080,
美树铭家,4室2厅,128.55,宝山,高区/6层,朝南北,46674,2003年建
中艺花园,3室2厅,135.71,宝山,低区/11层,朝南北,52317,2003年建
海尚明城,2室2厅,93.59,宝山,中区/18层,朝南,43808,2008年建
宝林六村,2室2厅,82.97,宝山,高区/6层,朝南北,43991,1995年建
杨泰二村,2室1厅,73.8,宝山,高区/6层,朝南北,38617,1993年建
泗塘八村,1室1厅,51.78,宝山,高区/6层,朝南,46349,1995年建
淞南七村,2室1厅,77.64,宝山,高区/6层,朝南,48299,1997年建
逸仙二村,2室1厅,64.73,宝山,高区/6层,朝南北,58705,1995年建
共康八村,2室1厅,67.31,宝山,高区/6层,朝南北,49026,1996年建
绿洲花园,2室2厅,94.25,宝山,低区/12层,朝南北,42440,2006年建
淞南九村,2室1厅,62.21,宝山,中区/6层,朝南北,53046,
悦尚华都,1室1厅,40.09,宝山,中区/9层,朝北,42155,2011年建
招商海德名门（公寓）,2室2厅,84.66,宝山,中区/16层,朝南,53153,
长江路20弄,2室1厅,59.59,宝山,中区/6层,,43631,1994年建
上坤乐城,3室2厅,90.3,宝山,中区/12层,朝南北,42081,
共康路400弄,1室1厅,53.79,宝山,高区/7层,朝南北,45547,1999年建
通河七村,2室2厅,70.97,宝山,中区/6层,朝南,49316,1995年建
共康八村,1室1厅,52.91,宝山,高区/6层,朝南北,45738,1995年建
逸仙二村,2室1厅,57.09,宝山,中区/6层,朝南北,54300,1996年建
淞南七村,1室1厅,48.61,宝山,低区/6层,朝南,44229,1995年建
金地艺境（宝山）,3室2厅,92.23,宝山,中区/33层,朝南北,44670,2012年建
嘉骏花苑,2室2厅,81.68,宝山,中区/6层,朝南北,58153,2004年建
新天地荻泾花园,2室2厅,90.32,宝山,中区/18层,朝南,40965,2011年建
招商海德名门（公寓）,3室2厅,123.63,宝山,高区/16层,朝南北,37207,
绿地领海（商住）,1室1厅,54.01,宝山,中区/18层,朝南,20366,
绿地海域笙晖（公寓）,2室2厅,81.29,宝山,低区/16层,朝南,44285,
二纺新工房,2室2厅,113,宝山,中区/7层,朝南北,46017,1999年建
文华苑（宝山）,2室1厅,69.13,宝山,低区/6层,朝南,60031,1997年建
吉浦路615弄,1室1厅,47.91,宝山,低区/6层,朝南,56355,1994年建
呼玛二村,2室1厅,53.29,宝山,中区/6层,朝南,51604,1990年建
淞南六村,1室1厅,39.73,宝山,高区/6层,朝南,50339,1995年建
共康五村,2室1厅,65.83,宝山,中区/6层,朝南北,50129,1994年建
宝钢三村,2室1厅,78.96,宝山,中区/6层,朝南北,45592,1994年建
古北菊翔苑（菊联路233弄）,1室1厅,52.92,宝山,低区/6层,朝南北,52910,2008年建
大华一村,1室1厅,47.75,宝山,低区/6层,朝南,57591,1994年建
星福家园,2室1厅,94.68,宝山,中区/11层,朝南北,47528,2005年建
梧桐城邦（公寓）,2室2厅,92.01,宝山,低区/14层,朝南,65210,2008年建
呼玛四村,2室1厅,58.58,宝山,低区/6层,朝南,52065,1994年建
逸仙路1321弄,1室1厅,43.52,宝山,中区/6层,朝南,53998,1993年建
高境一村,2室0厅,41.41,宝山,高区/6层,,51919,1995年建
祁连二村,2室1厅,82.56,宝山,中区/6层,朝南,49055,
经纬城市绿洲,3室2厅,137.89,宝山,中区/11层,朝南,50765,2005年建
高境二村,2室1厅,79.67,宝山,高区/6层,朝南北,50207,1996年建
四元路20弄,2室1厅,53.93,宝山,高区/6层,朝南北,45429,1993年建
高境一村,1室1厅,41.41,宝山,中区/6层,朝南北,53127,1995年建
长江路68弄,2室1厅,65.14,宝山,高区/7层,朝南北,44519,1995年建
宝钢八村,1室0厅,34.63,宝山,高区/5层,朝南,41871,1978年建
淞南六村,2室1厅,72.69,宝山,高区/6层,朝南,44022,1996年建
四元路20弄,2室1厅,57.38,宝山,低区/6层,朝南,40955,1993年建
共富四村,2室2厅,87.09,宝山,中区/6层,朝南北,45814,
通河四村,2室1厅,62.87,宝山,高区/6层,朝南北,50898,1989年建
通河四村,2室1厅,59.15,宝山,高区/6层,朝南,50718,1994年建
逸仙路1321弄,1室1厅,43.93,宝山,高区/6层,朝南,54632,1993年建
淞南六村,1室1厅,50.78,宝山,高区/6层,朝南,47853,1996年建
菊泉新城（陆翔路698弄）,2室1厅,78.25,宝山,中区/5层,朝南北,44728,2005年建
共富一村,2室1厅,58.48,宝山,高区/6层,,44459,1997年建
采菊苑,2室2厅,76.6,宝山,中区/11层,朝南北,48302,2008年建
淞南五村,2室1厅,68.95,宝山,低区/6层,朝南北,48585,1996年建
宝钢五村,2室2厅,94.15,宝山,高区/6层,朝南,46733,1999年建
共康五村,3室1厅,95.42,宝山,高区/6层,朝南北,49779,1994年建
大华一村,2室2厅,86.43,宝山,中区/6层,朝南,59007,1995年建
通河八村,2室1厅,68,宝山,中区/6层,朝南,55147,1994年建
庆安一村,2室1厅,57.18,宝山,高区/6层,朝南,44596,1996年建
华能城市花园,2室2厅,117.27,宝山,低区/18层,朝南北,65404,2001年建
呼玛五村,2室1厅,63.18,宝山,高区/6层,朝南,53814,1994年建
四元路20弄,2室1厅,71.39,宝山,高区/6层,朝南,37820,1993年建
大华二村,2室1厅,72.08,宝山,高区/6层,朝南北,50638,1997年建
新月雅苑,2室2厅,95,宝山,中区/11层,朝南,45263,2008年建
通河八村,2室1厅,53.46,宝山,中区/6层,朝南北,55181,1994年建
天馨花园（公寓）,2室1厅,84.36,宝山,中区/6层,朝南北,43859,1998年建
共康六村,2室2厅,67.22,宝山,高区/6层,,55043,1996年建
当代高邸,3室2厅,129,宝山,高区/6层,朝南北,51162,2004年建
共富一村,2室1厅,75,宝山,低区/6层,,44666,1997年建
高境一村,1室1厅,56.63,宝山,高区/6层,朝南北,53858,1995年建
顺驰美兰湖,2室2厅,94.41,宝山,中区/6层,朝南北,41309,2007年建
宝宸怡景园,2室2厅,91.75,宝山,中区/8层,朝南北,70844,2009年建
殷高路150弄,1室1厅,41,宝山,高区/6层,,60975,1995年建
庆安一村,2室1厅,57.18,宝山,中区/6层,朝南,41972,1996年建
逸仙路1321弄,1室1厅,49.48,宝山,中区/6层,朝南,54567,1994年建
杨泰三村,2室1厅,74.86,宝山,高区/6层,朝南北,38471,1995年建
宝钢八村,1室1厅,40.05,宝山,高区/5层,朝南,57428,1978年建
采菊苑,2室0厅,77.8,宝山,中区/11层,朝,50128,2008年建
泰和路678弄,2室1厅,56.56,宝山,高区/6层,朝南北,40664,1988年建
海滨二村（宝山）,2室0厅,46,宝山,高区/6层,朝南,44565,1982年建
行知家园,2室2厅,79.17,宝山,高区/6层,朝南北,59365,1997年建
民主花园,3室2厅,160,宝山,中区/18层,朝南北,45000,
鹏程花苑,3室2厅,117.35,宝山,中区/5层,朝南,53685,2004年建
海滨三村,2室0厅,49.39,宝山,中区/5层,朝南北,44543,1980年建
华馨苑（公寓）,2室2厅,93.43,宝山,中区/6层,朝南北,42063,2001年建
祁连二村,2室2厅,68.61,宝山,高区/6层,朝南,47369,1994年建
经纬城市绿洲,3室2厅,125.3,宝山,低区/13层,朝南北,54668,2009年建
天馨花园（公寓）,2室2厅,111.03,宝山,低区/6层,朝,44582,2003年建
大华二村,2室1厅,68.12,宝山,中区/6层,朝南,58426,1996年建
天馨花园（公寓）,2室1厅,84.01,宝山,中区/6层,朝南,42852,1998年建
新梅淞南苑,2室1厅,77.51,宝山,低区/14层,朝南,61927,2008年建
逸仙一村,1室1厅,38.58,宝山,高区/6层,朝南北,55728,1988年建
古北菊翔苑（菊联路233弄）,2室1厅,74.29,宝山,中区/8层,朝南北,53843,2008年建
宝宸怡秀园,2室2厅,98.25,宝山,低区/18层,朝南,61068,2005年建
共和八村,1室1厅,49.29,宝山,高区/6层,朝南北,58835,
恒盛豪庭,2室2厅,101.55,宝山,低区/29层,朝南北,59576,
嘉华苑（宝山）,3室2厅,136.71,宝山,中区/11层,朝南,64369,2002年建
吉浦路615弄,1室1厅,50.94,宝山,中区/6层,朝南,49077,1992年建
馨佳园（韶山路419弄）,2室1厅,78.41,宝山,高区/11层,朝南北,49483,2008年建
罗南二村,2室1厅,69.63,宝山,高区/6层,朝南北,34180,1996年建
文华苑（宝山）,2室1厅,70.4,宝山,高区/6层,朝南,69602,1997年建
庆安苑,3室2厅,146.5,宝山,中区/6层,朝南北,38225,2002年建
水韵华庭,4室2厅,150.55,宝山,中区/17层,朝南北,59780,2005年建
逸仙一村,2室1厅,63.56,宝山,中区/5层,朝南,58212,1992年建
复星新苑,3室2厅,107.78,宝山,高区/6层,,58452,2000年建
东方丽都,2室2厅,92.36,宝山,高区/6层,朝南北,44391,2006年建
盘古路712弄,3室1厅,89.29,宝山,低区/6层,朝南,36958,1994年建
昌鑫家园,3室2厅,120.47,宝山,低区/6层,朝南北,53955,2000年建
高境一村,1室1厅,47.37,宝山,中区/6层,朝南北,55942,1995年建
宝地绿洲城,3室2厅,130.63,宝山,低区/14层,朝南北,49758,2006年建
九英里,2室2厅,96.27,宝山,高区/12层,朝南北,63363,2007年建
罗南二村,1室1厅,57.28,宝山,中区/5层,朝南,42772,2005年建
共富四村,2室2厅,84.4,宝山,低区/6层,朝南北,49763,
璟都新园,3室2厅,163.29,宝山,中区/16层,朝南北,58178,2000年建
通河一村,1室1厅,43.38,宝山,高区/6层,朝南,49562,1988年建
菊泉新城（陆翔路678弄）,2室1厅,78.9,宝山,高区/5层,朝,40557,2005年建
通河八村,2室1厅,62.05,宝山,高区/6层,朝南北,48348,1994年建
盛世宝邸（一期）,2室2厅,84.04,宝山,中区/18层,朝南,77344,2010年建
盛世宝邸（一期）,2室2厅,89.59,宝山,低区/18层,朝南北,72552,2010年建
乐业一村,2室1厅,55.11,宝山,高区/5层,朝南,45363,1994年建
大华二村,3室1厅,85.96,宝山,高区/6层,朝南北,52349,1995年建
淞南五村,2室1厅,63.5,宝山,低区/6层,朝南,50393,1994年建
海滨四村,2室1厅,51.13,宝山,中区/6层,朝南北,44983,1989年建
海滨六村,1室1厅,45.83,宝山,高区/6层,朝南,45821,1993年建
菊泉新城（菊盛路50弄）,2室2厅,75.34,宝山,低区/14层,朝南北,45128,2005年建
淞南四村,2室1厅,54.73,宝山,低区/6层,朝南北,52987,1996年建
庆安一村,2室1厅,55.68,宝山,中区/6层,朝南,45797,1996年建
宝钢八村,2室1厅,51.86,宝山,高区/6层,朝东南,44350,1978年建
宝钢八村,1室0厅,32.76,宝山,中区/5层,朝南,48840,1978年建
通河八村,3室2厅,95.08,宝山,高区/6层,朝南,50483,1994年建
好日子大家园,3室2厅,128.5,宝山,高区/6层,朝南北,42801,2005年建
淞南五村,2室1厅,72.21,宝山,高区/6层,朝,48469,1996年建
宝钢五村,2室0厅,57.33,宝山,高区/15层,朝南,51630,1985年建
南华苑,3室2厅,117.55,宝山,低区/6层,朝,57847,1999年建
通河四村,1室1厅,42.84,宝山,高区/6层,朝南,49486,1988年建
祁连二村,2室1厅,76.81,宝山,高区/6层,朝南,44265,1994年建
申泉花苑,3室2厅,110,宝山,高区/6层,朝南北,55454,1998年建
淞南六村,1室1厅,46.08,宝山,中区/6层,朝南,47743,1994年建
宝钢九村,2室0厅,70.13,宝山,低区/13层,朝南北,39212,1988年建
大华一村,1室1厅,60,宝山,高区/6层,朝南,58333,1995年建
长征新村,2室1厅,60.78,宝山,中区/5层,朝南,42777,1978年建
天馨花园（公寓）,2室2厅,85.52,宝山,低区/6层,朝南北,49695,2007年建
罗南一村,2室1厅,73.89,宝山,中区/5层,朝南,35864,1991年建
同盛嘉园,2室2厅,92.17,宝山,中区/11层,朝南北,43398,2008年建
罗南二村,3室2厅,126.4,宝山,高区/6层,朝南北,32041,1996年建
美兰湖颐景园,3室2厅,111.66,宝山,高区/6层,朝南北,38061,2007年建
高境一村,2室1厅,68.9,宝山,高区/6层,朝南北,50798,1994年建
盛世宝邸（一期）,2室2厅,84.52,宝山,高区/14层,朝南,70989,2010年建
锦秋花园（公寓）,2室2厅,96.08,宝山,低区/6层,朝,52039,2007年建
共富二村,2室1厅,63.32,宝山,高区/6层,朝南,40745,1996年建
三湘盛世花园,2室2厅,103,宝山,中区/14层,朝南北,61165,2006年建
罗南一村,2室2厅,85.75,宝山,低区/6层,朝南北,33236,1995年建
大华一村,2室1厅,68.93,宝山,高区/6层,朝南,53387,1994年建
通河二村,1室1厅,42.45,宝山,中区/6层,朝南,51825,1992年建
密山二村,2室1厅,52.56,宝山,中区/6层,朝南,46613,1986年建
海滨八村,3室1厅,69.44,宝山,高区/6层,朝南北,50403,1991年建
三湘盛世花园,2室2厅,104.63,宝山,中区/13层,朝南北,58300,2006年建
海滨三村,2室1厅,51.37,宝山,高区/6层,朝南北,42437,1986年建
民主花园,2室1厅,65.72,宝山,低区/6层,朝南北,54777,
滨江雅苑,3室2厅,132.34,宝山,低区/11层,朝南北,68006,
新梅淞南苑,2室1厅,72.57,宝山,低区/14层,朝南,66143,2008年建
宝钢八村,2室0厅,48.53,宝山,中区/5层,朝南北,45332,1978年建
华浜二村,2室1厅,67.82,宝山,中区/6层,,48658,1995年建
共富二村,3室1厅,92.05,宝山,高区/6层,朝南北,42368,1996年建
行知家园,2室2厅,79.63,宝山,中区/6层,,64046,1997年建
通河一村,1室1厅,41.59,宝山,中区/6层,朝南,51695,1994年建
嘉华苑（宝山）,2室2厅,90.32,宝山,低区/6层,朝南北,66430,2002年建
文华苑（宝山）,3室1厅,104.74,宝山,高区/6层,朝南北,57284,1998年建
新梅绿岛苑,2室2厅,82.36,宝山,高区/6层,朝南北,76493,2007年建
天馨花园（公寓）,3室2厅,116.25,宝山,中区/6层,朝南北,47311,2005年建
海滨八村,1室1厅,41.82,宝山,高区/6层,朝南,45432,1986年建
呼玛三村,2室1厅,58.33,宝山,高区/6层,朝南,54860,1994年建
远景佳苑,2室2厅,96.64,宝山,高区/6层,朝南北,61051,2000年建
呼玛二村,2室1厅,53,宝山,高区/6层,朝南,52830,1992年建
经纬城市绿洲,3室2厅,117,宝山,中区/13层,朝南北,51282,2007年建
宝启公寓,3室1厅,84.6,宝山,低区/6层,朝南北,47281,2000年建
宝林路462弄,2室2厅,87.32,宝山,中区/6层,朝南,46381,1995年建
大华二村,2室1厅,85.14,宝山,高区/6层,朝南,54028,1997年建
泰和路678弄,2室0厅,46.51,宝山,中区/5层,朝南北,43001,1983年建
采菊苑,3室1厅,99.29,宝山,高区/11层,朝南北,45321,2008年建
美岸栖庭（公寓）,3室2厅,122.55,宝山,高区/6层,朝南北,59159,2005年建
逸兴家园,2室1厅,91.21,宝山,低区/6层,,57011,2002年建
通河八村,3室1厅,94.33,宝山,高区/6层,朝南北,48764,1996年建
淞南五村,2室1厅,62.33,宝山,高区/6层,朝,51339,1998年建
共富一村,3室2厅,96.09,宝山,高区/6层,朝南北,43188,1997年建
高境一村,2室1厅,69.2,宝山,高区/6层,朝南,52023,1995年建
菊泉新城（菊盛路50弄）,2室2厅,75.24,宝山,高区/5层,朝南北,45853,2005年建
采菊苑,2室1厅,78,宝山,中区/11层,朝南北,51282,2008年建
共富一村,2室2厅,89.17,宝山,高区/6层,朝南北,44858,1995年建
盛世宝邸（一期）,2室2厅,91.8,宝山,中区/18层,朝南,66448,2010年建
好日子大家园,2室2厅,93.66,宝山,中区/6层,朝南北,48046,2010年建
通河四村,3室1厅,70.88,宝山,高区/6层,朝南北,53611,1994年建
泗塘三村,1室1厅,44.15,宝山,高区/5层,朝南,44394,1992年建
罗南二村,2室1厅,68.92,宝山,低区/6层,朝南北,37724,1996年建
四元路20弄,2室1厅,57.38,宝山,中区/6层,,40083,1993年建
杨泰三村,2室1厅,64.74,宝山,低区/6层,朝南北,46339,1995年建
民悦苑,3室2厅,178.31,宝山,中区/6层,朝南,49913,
铂金华府,2室2厅,87.37,宝山,中区/6层,朝南北,78974,
古北菊翔苑（菊联路233弄）,2室1厅,72.33,宝山,低区/8层,朝南北,49771,2008年建
呼玛三村,3室1厅,91.23,宝山,高区/6层,朝南,54258,1996年建
共康五村,2室1厅,65.83,宝山,高区/6层,朝南北,49369,1995年建
宝钢五村,2室1厅,93.27,宝山,高区/7层,朝南,47174,1999年建
华浜新村,2室1厅,59.48,宝山,中区/6层,朝南,47915,1995年建
文宝苑,2室2厅,74.9,宝山,低区/11层,朝南北,53404,2008年建
淞南五村,1室1厅,42.14,宝山,高区/6层,朝南,50308,1997年建
乾溪新村,2室1厅,58.08,宝山,高区/6层,朝南,50792,1994年建
共康路400弄,2室2厅,79.69,宝山,高区/6层,朝南北,56468,1999年建
新月福邸,3室1厅,96.1,宝山,高区/6层,,39542,2003年建
李金怡心园,2室1厅,75.11,宝山,中区/6层,朝南,50592,1994年建
高境一村,1室1厅,52.58,宝山,高区/6层,朝南,53252,1994年建
呼玛五村,2室1厅,62.46,宝山,高区/6层,朝南北,52513,1995年建
菊泉新城（陆翔路698弄）,2室2厅,77.05,宝山,中区/5层,朝南北,47371,2005年建
冶金小区（宝山区）,2室1厅,69.77,宝山,高区/6层,朝南,50881,1997年建
丰翔新城,3室2厅,87.18,宝山,低区/26层,朝南北,37279,2009年建
远景佳苑,2室2厅,107.73,宝山,中区/5层,朝南北,60800,2000年建
荣域飘鹰锦和花园（公寓）,2室1厅,89.41,宝山,高区/18层,朝南北,49211,2011年建
淞南八村,2室1厅,64.74,宝山,低区/6层,朝南北,49428,1995年建
经纬城市绿洲,2室2厅,110.69,宝山,中区/11层,朝南北,54205,
大华二村,3室1厅,85.49,宝山,高区/6层,朝南北,53690,1995年建
盛世宝邸（一期）,2室2厅,84.04,宝山,中区/18层,朝南,72584,2010年建
古北菊翔苑（菊联路233弄）,2室2厅,73.76,宝山,高区/6层,朝南北,51518,2008年建
泗东新村,2室0厅,46.92,宝山,中区/5层,朝南北,53495,1983年建
四元路20弄,2室1厅,56.06,宝山,高区/6层,朝南,37459,1993年建
同济路1111弄,3室1厅,90.58,宝山,高区/6层,朝南北,46367,
共富二村,2室2厅,90.5,宝山,高区/6层,朝南北,46408,1996年建
共富一村,2室2厅,93.66,宝山,高区/6层,朝南北,40572,1996年建
昌鑫时代绿园,2室2厅,75.54,宝山,高区/6层,朝南北,52952,2004年建
四元路20弄,2室1厅,56.06,宝山,高区/6层,朝南,40135,1993年建
庆安苑,3室1厅,95.92,宝山,高区/6层,朝南北,39616,1998年建
殷高小区,2室1厅,64.55,宝山,高区/6层,朝南,49573,1994年建
四元路20弄,2室1厅,57.39,宝山,中区/6层,朝南,37462,1994年建
逸兴家园,3室2厅,118.11,宝山,高区/9层,朝南北,55033,2002年建
杨泰苑,2室2厅,84.21,宝山,高区/6层,朝南,47262,2000年建
淞兴路305弄,2室1厅,102.81,宝山,低区/6层,朝南,43770,1998年建
东方丽都,2室2厅,93.86,宝山,高区/6层,朝南北,44747,2006年建
泗东新村,2室0厅,50,宝山,中区/5层,朝南北,50199,1983年建
高境一村,3室2厅,183.6,宝山,中区/18层,,51742,2001年建
锦秋花园（公寓）,3室2厅,127.49,宝山,高区/6层,朝南北,45493,2007年建
共富三村,3室2厅,111.3,宝山,高区/6层,朝南北,43575,2001年建
长征新村,2室1厅,67.62,宝山,中区/5层,朝南北,41407,1985年建
共富一村,1室2厅,60.01,宝山,高区/6层,朝南,44992,1997年建
共江小区,2室1厅,68.89,宝山,高区/6层,朝南北,55160,1997年建
殷高小区,2室1厅,60.56,宝山,高区/6层,朝南,66050,1994年建
好家园,2室2厅,90.75,宝山,低区/6层,朝南北,60606,2009年建
共富二村,3室2厅,138.63,宝山,中区/11层,朝东,41837,2006年建
文华苑（宝山）,3室2厅,114.51,宝山,高区/6层,朝南,56763,1999年建
共富一村,3室1厅,89.17,宝山,高区/6层,朝南,40933,1997年建
共富一村,2室2厅,93.56,宝山,高区/6层,朝南北,42218,1996年建
铂金华府,3室2厅,133.87,宝山,低区/17层,朝南北,71711,
大华一村,2室1厅,71.74,宝山,高区/6层,朝南,50459,1995年建
大华一村,2室2厅,81.38,宝山,高区/6层,朝南,56524,1995年建
九英里,2室2厅,98.76,宝山,中区/12层,朝南北,60753,2007年建
三花现代城,2室2厅,94.43,宝山,低区/24层,朝南北,66716,2013年建
呼玛二村,2室1厅,56.84,宝山,高区/6层,朝南,47501,1992年建
通河八村,3室1厅,94.33,宝山,中区/6层,朝南,52475,1996年建
古北菊翔苑（菊联路233弄）,2室2厅,73.14,宝山,中区/6层,朝南北,51955,2008年建
东方丽都,3室2厅,145.21,宝山,中区/11层,朝南北,42008,2006年建
古北菊翔苑（菊联路233弄）,2室1厅,73.14,宝山,中区/6层,朝南,49220,2008年建
共康五村,1室1厅,52.98,宝山,高区/6层,朝南,53982,1997年建
殷高小区,2室1厅,82.74,宝山,高区/6层,朝南,52574,1993年建
古北菊翔苑（菊联路233弄）,1室1厅,50.93,宝山,中区/6层,朝南北,55959,2008年建
长江路68弄,2室1厅,60.15,宝山,中区/7层,朝南北,41562,1995年建
文华苑（宝山）,4室2厅,131.3,宝山,低区/11层,朝南北,55597,2000年建
海滨七村,2室1厅,57.84,宝山,高区/6层,朝南,45816,1986年建
锦华苑,2室2厅,90.9,宝山,高区/6层,朝南北,59955,1999年建
四季绿城,2室2厅,87.33,宝山,低区/6层,朝南北,60689,2008年建
共富四村,2室2厅,100.83,宝山,低区/6层,朝南北,46613,
宝钢九村,2室1厅,73.33,宝山,高区/6层,朝南北,46365,1995年建
杨泰三村,2室1厅,74.86,宝山,高区/6层,朝南,37403,1995年建
吉浦路615弄,2室1厅,62.05,宝山,高区/6层,朝南,54794,1996年建
大华二村,3室1厅,83.77,宝山,高区/6层,朝南北,54912,1995年建
共富二村,3室1厅,94.19,宝山,低区/6层,朝南北,39282,2004年建
菊泉新城（菊盛路50弄）,2室2厅,81.66,宝山,高区/14层,朝东西,44085,2005年建
淞滨路70弄,2室1厅,55.99,宝山,高区/6层,朝南北,42864,1993年建
慧华东苑,2室2厅,81.89,宝山,低区/6层,朝南北,47624,2011年建
古北菊翔苑（菊联路232弄）,2室2厅,74.64,宝山,低区/8层,朝南北,42872,2008年建
长江路68弄,2室1厅,59.97,宝山,高区/7层,朝南北,46690,1995年建
海滨七村,2室1厅,57.4,宝山,高区/6层,朝南北,44947,1987年建
共康五村,1室1厅,54.89,宝山,高区/6层,朝南北,50100,1997年建
共富一村,2室1厅,82.77,宝山,高区/6层,朝南,41681,1999年建
美兰湖颐景园,3室2厅,126.83,宝山,中区/5层,朝南北,40211,2007年建
中环1号（五期）,2室1厅,70.86,宝山,高区/18层,朝南,63223,2013年建
罗南二村,2室1厅,69.63,宝山,低区/6层,朝南,38058,1996年建
文华苑（宝山）,4室2厅,119.13,宝山,低区/6层,朝南,54562,1999年建
吉浦路615弄,1室1厅,46.18,宝山,高区/6层,朝南,50887,1992年建
共康五村,2室2厅,95.42,宝山,高区/6层,朝南北,51351,1994年建
淞滨路765弄,3室1厅,95.99,宝山,中区/6层,朝南北,43233,1997年建
大华二村,2室1厅,72.66,宝山,高区/6层,朝南,51610,1996年建
民悦苑,5室2厅,178.01,宝山,中区/6层,朝南北,44379,
华鹏花苑,2室1厅,85.54,宝山,高区/6层,朝南,50268,1997年建
高境二村,2室2厅,92.81,宝山,高区/6层,朝南,50102,
富锦路1659弄,3室1厅,88.48,宝山,中区/6层,,36166,1999年建
杨泰三村,3室1厅,98.27,宝山,高区/6层,,32563,1994年建
同济路1111弄,2室1厅,73.33,宝山,高区/6层,朝南北,42274,
复星新苑,3室2厅,107.77,宝山,高区/6层,朝南北,58457,2000年建
淞浦苑,3室2厅,147.72,宝山,高区/11层,朝南北,42648,
海滨三村,2室1厅,50.97,宝山,高区/5层,朝南北,41200,1980年建
锦华苑,3室2厅,130.38,宝山,低区/6层,朝南北,55223,1999年建
菊泉新城（菊盛路50弄）,1室1厅,61.99,宝山,高区/5层,朝南,46781,2005年建
复星花园（行知路569弄）,3室2厅,122.79,宝山,低区/6层,朝南北,49678,1997年建
复星新苑,3室2厅,120.35,宝山,中区/6层,朝南北,58163,2000年建
大华二村,2室1厅,63.91,宝山,高区/6层,朝南北,56329,1996年建
大华二村,2室1厅,63.39,宝山,高区/6层,朝南北,56791,1995年建
星福家园,3室2厅,129.11,宝山,低区/11层,朝南北,41437,
共康路400弄,3室2厅,93.89,宝山,高区/7层,朝南,45798,1999年建
星福家园,3室2厅,129.11,宝山,中区/11层,朝南,46472,2005年建
环镇北路400弄,3室1厅,87.23,宝山,高区/6层,朝南北,41843,1995年建
卓越时代广场,2室1厅,62.97,宝山,高区/19层,朝北,41289,
海尚明城,1室2厅,63.2,宝山,低区/18层,朝南,44303,2008年建
三花现代城,2室2厅,88.47,宝山,高区/16层,朝南北,70080,2009年建
泗塘八村,2室1厅,60.19,宝山,高区/6层,朝南,44027,1995年建
中环1号（一期）,2室2厅,98.24,宝山,中区/14层,朝南北,59548,2009年建
水岸蓝桥（公寓）,3室2厅,132.09,宝山,低区/13层,朝南北,62078,
杨泰二村,2室1厅,70.22,宝山,中区/6层,朝南,39162,1997年建
荣域飘鹰锦和花园（公寓）,4室2厅,144.2,宝山,低区/18层,朝,52704,2011年建
淞南一村,2室1厅,59.62,宝山,中区/6层,朝南,46125,1994年建
德都路165弄,2室0厅,43.35,宝山,中区/6层,朝南,39215,1998年建
四季绿城,2室2厅,87.27,宝山,高区/6层,朝南北,58095,2006年建
泰和新城,1室1厅,47.24,宝山,低区/6层,朝南,46570,
三花现代城,2室2厅,89.21,宝山,低区/17层,朝南北,67257,2010年建
泗塘七村,2室1厅,62.83,宝山,低区/6层,朝南北,46952,1995年建
三花现代城,2室2厅,88.33,宝山,低区/19层,朝南,62266,2007年建
宝林八村,2室0厅,59.45,宝山,低区/6层,朝南,48780,1993年建
万临家园,3室2厅,134.5,宝山,高区/14层,朝南北,51301,2006年建
成亿宝盛家苑,3室2厅,93.02,宝山,低区/6层,朝南北,40313,2006年建
三花现代城,2室2厅,96.39,宝山,中区/15层,朝南,65878,2007年建
水岸蓝桥（公寓）,3室2厅,141.61,宝山,高区/14层,朝南,63554,
阳光迪金阁,2室2厅,93.11,宝山,中区/13层,朝南北,39200,2011年建
聚丰景都,1室2厅,70.06,宝山,低区/10层,朝南北,51384,2010年建
康桥水都（公寓）,2室2厅,86.42,宝山,低区/4层,,46285,2005年建
新天地荻泾花园,3室2厅,128.44,宝山,高区/9层,朝南北,44378,2010年建
锦龙苑,2室1厅,62.58,宝山,中区/6层,朝南,47139,1995年建
嘉骏花苑,4室2厅,68.54,宝山,高区/6层,朝南北,69302,2004年建
祁连一村,2室2厅,72.08,宝山,中区/6层,朝南北,44395,1998年建
富浩花园,3室2厅,115.37,宝山,低区/6层,朝南,41605,2002年建
